From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
B2GV17	B2GV17	reviewed	CBPC5_RAT	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)	Agbl5 Ccp5	Rattus norvegicus (Rat)	832	GO:0004181; GO:0005634; GO:0005829; GO:0006508; GO:0008270; GO:0015631; GO:0030496; GO:0035608; GO:0035609; GO:0035610; GO:0035611; GO:0051607; GO:0072686	C-terminal protein deglutamylation [GO:0035609]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]; C-terminal protein deglutamylation [GO:0035609]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]
Q9DC61	Q9DC61	reviewed	MPPA_MOUSE	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	Pmpca Inpp5e	Mus musculus (Mouse)	524	GO:0004175; GO:0004222; GO:0005739; GO:0005743; GO:0005759; GO:0006627; GO:0016485; GO:0046872	protein processing [GO:0016485]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; protein processing [GO:0016485]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P83941	P83941	reviewed	ELOC_RAT	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Stromal membrane-associated protein SMAP1B homolog) (Transcription elongation factor B polypeptide 1)	Eloc Tceb1	Rattus norvegicus (Rat)	112	GO:0001222; GO:0006367; GO:0006511; GO:0016567; GO:0030674; GO:0030891; GO:0031466; GO:0032968; GO:0044877; GO:0070449; GO:0140958	positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]	Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]; protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]	Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]
A2T736	A2T736	reviewed	ZKSC8_PANTR	Zinc finger protein with KRAB and SCAN domains 8 (Zinc finger protein 192)	ZKSCAN8 ZNF192	Pan troglodytes (Chimpanzee)	578	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]
O43303	O43303	reviewed	CP110_HUMAN	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)	CCP110 CEP110 CP110 KIAA0419	Homo sapiens (Human)	1012	GO:0005813; GO:0005814; GO:0005829; GO:0005929; GO:0007099; GO:0032053; GO:0032465; GO:0032991; GO:0045724; GO:0051298; GO:1902018; GO:1903723	centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; ciliary basal body organization [GO:0032053]; negative regulation of centriole elongation [GO:1903723]; negative regulation of cilium assembly [GO:1902018]; positive regulation of cilium assembly [GO:0045724]; regulation of cytokinesis [GO:0032465]	centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]; centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; ciliary basal body organization [GO:0032053]; negative regulation of centriole elongation [GO:1903723]; negative regulation of cilium assembly [GO:1902018]; positive regulation of cilium assembly [GO:0045724]; regulation of cytokinesis [GO:0032465]		centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]
Q8NBI5	Q8NBI5	reviewed	S43A3_HUMAN	Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3)	SLC43A3 ENBT1 PSEC0252	Homo sapiens (Human)	491	GO:0015207; GO:0015208; GO:0015245; GO:0016323; GO:0035344; GO:0042910	hypoxanthine transport [GO:0035344]	basolateral plasma membrane [GO:0016323]; adenine transmembrane transporter activity [GO:0015207]; fatty acid transmembrane transporter activity [GO:0015245]; guanine transmembrane transporter activity [GO:0015208]; xenobiotic transmembrane transporter activity [GO:0042910]; hypoxanthine transport [GO:0035344]	adenine transmembrane transporter activity [GO:0015207]; fatty acid transmembrane transporter activity [GO:0015245]; guanine transmembrane transporter activity [GO:0015208]; xenobiotic transmembrane transporter activity [GO:0042910]	basolateral plasma membrane [GO:0016323]
Q8NEF3	Q8NEF3	reviewed	CC112_HUMAN	Coiled-coil domain-containing protein 112 (Mutated in bladder cancer protein 1)	CCDC112 MBC1	Homo sapiens (Human)	446	GO:0005737; GO:0034451		centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]		centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]
Q647I9	Q647I9	reviewed	NALP5_BOVIN	NACHT, LRR and PYD domains-containing protein 5 (Mater protein homolog)	NLRP5 MATER NALP5	Bos taurus (Bovine)	1098	GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0005938; GO:0006887; GO:0007015; GO:0032879; GO:0040019; GO:0042585; GO:0048471; GO:0050727; GO:0051293; GO:0051302; GO:0051656; GO:0060471; GO:0060473; GO:0106333	actin filament organization [GO:0007015]; cortical granule exocytosis [GO:0060471]; establishment of organelle localization [GO:0051656]; establishment of spindle localization [GO:0051293]; exocytosis [GO:0006887]; positive regulation of embryonic development [GO:0040019]; regulation of cell division [GO:0051302]; regulation of inflammatory response [GO:0050727]; regulation of localization [GO:0032879]	cell cortex [GO:0005938]; cortical granule [GO:0060473]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; subcortical maternal complex [GO:0106333]; ATP binding [GO:0005524]; actin filament organization [GO:0007015]; cortical granule exocytosis [GO:0060471]; establishment of organelle localization [GO:0051656]; establishment of spindle localization [GO:0051293]; exocytosis [GO:0006887]; positive regulation of embryonic development [GO:0040019]; regulation of cell division [GO:0051302]; regulation of inflammatory response [GO:0050727]; regulation of localization [GO:0032879]	ATP binding [GO:0005524]	cell cortex [GO:0005938]; cortical granule [GO:0060473]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; subcortical maternal complex [GO:0106333]
P39098	P39098	reviewed	MA1A2_MOUSE	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (EC 3.2.1.113) (Mannosidase alpha class 1A member 2) (Processing alpha-1,2-mannosidase IB) (Alpha-1,2-mannosidase IB)	Man1a2 Man1b	Mus musculus (Mouse)	641	GO:0000139; GO:0004571; GO:0005509; GO:0005783; GO:0005794; GO:0005975; GO:0006486; GO:0007585; GO:0009100; GO:0048286	carbohydrate metabolic process [GO:0005975]; glycoprotein metabolic process [GO:0009100]; lung alveolus development [GO:0048286]; protein glycosylation [GO:0006486]; respiratory gaseous exchange by respiratory system [GO:0007585]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]; carbohydrate metabolic process [GO:0005975]; glycoprotein metabolic process [GO:0009100]; lung alveolus development [GO:0048286]; protein glycosylation [GO:0006486]; respiratory gaseous exchange by respiratory system [GO:0007585]	calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]
A7XY94	A7XY94	reviewed	NMDE2_XENLA	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)	grin2b	Xenopus laevis (African clawed frog)	1448	GO:0004972; GO:0005764; GO:0005770; GO:0005886; GO:0010043; GO:0017146; GO:0032026; GO:0045211; GO:0046872	response to magnesium ion [GO:0032026]; response to zinc ion [GO:0010043]	late endosome [GO:0005770]; lysosome [GO:0005764]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; metal ion binding [GO:0046872]; NMDA glutamate receptor activity [GO:0004972]; response to magnesium ion [GO:0032026]; response to zinc ion [GO:0010043]	metal ion binding [GO:0046872]; NMDA glutamate receptor activity [GO:0004972]	late endosome [GO:0005770]; lysosome [GO:0005764]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]
A7MCS3	A7MCS3	reviewed	CP089_DANRE	UPF0764 protein C16orf89 homolog		Danio rerio (Zebrafish) (Brachydanio rerio)	351	GO:0005576; GO:0005829; GO:0016020		cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]		cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]
P08237	P08237	reviewed	PFKAM_HUMAN	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	PFKM PFKX	Homo sapiens (Human)	780	GO:0003872; GO:0005524; GO:0005634; GO:0005829; GO:0005945; GO:0005980; GO:0006002; GO:0006096; GO:0016020; GO:0016208; GO:0016324; GO:0019900; GO:0030388; GO:0032024; GO:0042593; GO:0042802; GO:0045944; GO:0046716; GO:0046872; GO:0048029; GO:0061615; GO:0061621; GO:0070061; GO:0070095; GO:0093001; GO:0097228	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycolysis from storage polysaccharide through glucose-1-phosphate [GO:0093001]; glycolytic process [GO:0006096]; glycolytic process through fructose-6-phosphate [GO:0061615]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion [GO:0032024]; positive regulation of transcription by RNA polymerase II [GO:0045944]	6-phosphofructokinase complex [GO:0005945]; apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; sperm principal piece [GO:0097228]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose binding [GO:0070061]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycolysis from storage polysaccharide through glucose-1-phosphate [GO:0093001]; glycolytic process [GO:0006096]; glycolytic process through fructose-6-phosphate [GO:0061615]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion [GO:0032024]; positive regulation of transcription by RNA polymerase II [GO:0045944]	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose binding [GO:0070061]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]	6-phosphofructokinase complex [GO:0005945]; apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; sperm principal piece [GO:0097228]
